FIPS,State,County,Health and Quality of Life Score
26125,MI,Oakland,62.06008484110999
27019,MN,Carver,62.01934592143769
2130,AK,Ketchikan Gateway,61.95834534409116
34019,NJ,Hunterdon,61.64745825192821
51013,VA,Arlington,61.63630776873707
33009,NH,Grafton,61.61420645284996
55089,WI,Ozaukee,61.570422192345774
42091,PA,Montgomery,61.42453200873028
17097,IL,Lake,61.33163918232007
44001,RI,Bristol,61.19014931092637
46073,SD,Jerauld,61.10296970485283
51600,VA,Fairfax,61.08810194324548
25000,,,61.055249312891135
12001,FL,Alachua,60.95493949229237
18057,IN,Hamilton,60.867038533387436
46135,SD,Yankton,60.82011757428138
37063,NC,Durham,60.77268895475517
6001,CA,Alameda,60.63648902096231
27031,MN,Cook,60.60664441465825
51510,VA,Alexandria,60.513697737082325
8014,CO,Broomfield,60.404907594487845
51107,VA,Loudoun,60.38331805369767
45019,SC,Charleston,60.00824516606378
34025,NJ,Monmouth,59.76711829885505
2020,AK,Anchorage,59.752710038215916
8107,CO,Routt,59.75261859195492
44005,RI,Newport,59.606696087303206
51678,VA,Lexington,59.459778518602235
46097,SD,Miner,59.434326569172796
37183,NC,Wake,59.41590087236836
41003,OR,Benton,59.41474666408767
55025,WI,Dane,59.304148697593725
38015,ND,Burleigh,59.186516724323575
6059,CA,Orange,59.17526819073623
2016,AK,Aleutians West,59.053613614857426
8035,CO,Douglas,58.96429332180181
18011,IN,Boone,58.96317104836182
16013,ID,Blaine,58.89799696201178
31055,NE,Douglas,58.81637130760442
21067,KY,Fayette,58.51799676419162
39041,OH,Delaware,58.487755620550985
37021,NC,Buncombe,58.417232308824445
25015,MA,Hampshire,58.248831080500544
34005,NJ,Burlington,58.10669927473487
53055,WA,San Juan,58.079017344016954
34023,NJ,Middlesex,58.03210006043416
28089,MS,Madison,57.946447447878
48085,TX,Collin,57.87033983238642
38035,ND,Grand Forks,57.82969148471543
31119,NE,Madison,57.82130858241805
13113,GA,Fayette,57.73121204868686
38017,ND,Cass,57.7207243126251
46029,SD,Codington,57.697763068824095
47187,TN,Williamson,57.66788934146661
51003,VA,Albemarle,57.664643471884226
6087,CA,Santa Cruz,57.512639268038804
41051,OR,Multnomah,57.42811936360892
46081,SD,Lawrence,57.37803458724068
41067,OR,Washington,57.30969007635303
42029,PA,Chester,57.24458581550809
8005,CO,Arapahoe,57.11979481797421
31109,NE,Lancaster,57.0852712848078
8091,CO,Ouray,56.95431965732191
19167,IA,Sioux,56.931867669912556
55063,WI,La Crosse,56.92688755017799
19191,IA,Winneshiek,56.86100446639292
41017,OR,Deschutes,56.819949568885704
2150,AK,Kodiak Island,56.79123569418174
6055,CA,Napa,56.780690762955935
8113,CO,San Miguel,56.75350220382112
8031,CO,Denver,56.72444333246203
15007,HI,Kauai,56.68646320297233
25001,MA,Barnstable,56.55233883022673
19059,IA,Dickinson,56.49950073063136
34000,,,56.33343920600489
6013,CA,Contra Costa,56.30817183213622
38011,ND,Bowman,56.224493543071574
45013,SC,Beaufort,56.16321842371362
31000,,,56.13704766234962
13219,GA,Oconee,56.061168006905525
26055,MI,Grand Traverse,55.99548647817586
6061,CA,Placer,55.95188959949255
19033,IA,Cerro Gordo,55.947338424392655
30031,MT,Gallatin,55.94630529020064
38103,ND,Wells,55.81143830153146
25019,MA,Nantucket,55.742201569020125
2000,,,55.70690352331019
36113,NY,Warren,55.70376487095032
46099,SD,Minnehaha,55.65385878537088
37119,NC,Mecklenburg,55.57736961374309
8059,CO,Jefferson,55.477215684188465
6000,,,55.4709669144547
31019,NE,Buffalo,55.41628936190384
9000,,,55.40377651293986
13121,GA,Fulton,55.37237325613193
36079,NY,Putnam,55.308978178793126
27041,MN,Douglas,55.23685702378357
34039,NJ,Union,55.22002157304562
15009,HI,Maui,55.14981561172645
2090,AK,Fairbanks North Star,55.05314855525984
31175,NE,Valley,55.03605589508784
46127,SD,Union,55.00032616382072
36087,NY,Rockland,54.94675857935726
31153,NE,Sarpy,54.928052911528624
56033,WY,Sheridan,54.914183417921464
48157,TX,Fort Bend,54.84435117746501
38071,ND,Ramsey,54.83559395689654
51775,VA,Salem,54.81421197473917
36001,NY,Albany,54.81105649757513
27000,,,54.75061560818774
51199,VA,York,54.69466805406187
46000,,,54.66747875742583
27037,MN,Dakota,54.624846324488345
24000,,,54.623192320699175
30063,MT,Missoula,54.60609320254728
12021,FL,Collier,54.5983680523837
27123,MN,Ramsey,54.58033877518843
44009,RI,Washington,54.50927155119204
46013,SD,Brown,54.396042559852255
51683,VA,Manassas,54.39201324736056
6073,CA,San Diego,54.34875773180192
27103,MN,Nicollet,54.31733071036228
31045,NE,Dawes,54.22539410162367
26047,MI,Emmet,54.14121751586882
24041,MD,Talbot,54.071507465193775
53007,WA,Chelan,54.052361353373996
37147,NC,Pitt,54.02690461645881
51570,VA,Colonial Heights,54.017955814923866
25003,MA,Berkshire,53.979215453043686
48453,TX,Travis,53.97167666563299
46065,SD,Hughes,53.95923983221936
37129,NC,New Hanover,53.91117194145825
35049,NM,Santa Fe,53.851569979500844
31089,NE,Holt,53.8468340165575
25009,MA,Essex,53.839302543638965
19153,IA,Polk,53.80089204668655
16001,ID,Ada,53.794515661422196
46103,SD,Pennington,53.79250109693322
8051,CO,Gunnison,53.72474072211398
36055,NY,Monroe,53.70227592288384
46035,SD,Davison,53.67433372234614
31031,NE,Cherry,53.6451802918996
36000,,,53.560919344888944
48121,TX,Denton,53.50012377466619
27035,MN,Crow Wing,53.494771652347744
19061,IA,Dubuque,53.47923640873573
12099,FL,Palm Beach,53.477423830191675
27139,MN,Scott,53.45189454259329
46075,SD,Jones,53.44339667068423
17000,,,53.432520066523814
55035,WI,Eau Claire,53.402376423097245
6051,CA,Mono,53.38890889025052
51660,VA,Harrisonburg,53.3718895894899
8067,CO,La Plata,53.340740392528346
12109,FL,St. Johns,53.332636445957206
26081,MI,Kent,53.313910289465966
27013,MN,Blue Earth,53.308439814557204
27157,MN,Wabasha,53.23991886573885
33015,NH,Rockingham,53.23613567345515
56043,WY,Washakie,53.219975959782275
19041,IA,Clay,53.193452454145785
38093,ND,Stutsman,53.181460322209425
27145,MN,Stearns,53.113618687634116
38057,ND,Mercer,53.06751301991967
8069,CO,Larimer,53.04005445133066
56029,WY,Park,53.02409794481096
20051,KS,Ellis,53.01907342269274
33011,NH,Hillsborough,53.006442700939694
25007,MA,Dukes,52.975921414809726
34021,NJ,Mercer,52.974252618859616
30049,MT,Lewis and Clark,52.931636652262206
27067,MN,Kandiyohi,52.93072032385611
42003,PA,Allegheny,52.904900272595356
6057,CA,Nevada,52.883716275897704
28073,MS,Lamar,52.86801376848108
8000,,,52.86089729933607
19169,IA,Story,52.85429997198324
38101,ND,Ward,52.846319540181035
6017,CA,El Dorado,52.789644194498315
19049,IA,Dallas,52.77652840557332
44000,,,52.766277813206976
6079,CA,San Luis Obispo,52.74273995907395
13067,GA,Cobb,52.728936375415024
36103,NY,Suffolk,52.65879385384035
33013,NH,Merrimack,52.640910759468866
25027,MA,Worcester,52.60115857684961
27131,MN,Rice,52.60096057288207
29189,MO,St. Louis,52.56451709976596
17031,IL,Cook,52.56266995469174
36091,NY,Saratoga,52.47317842459548
6097,CA,Sonoma,52.46546036823314
8003,CO,Alamosa,52.42818451904152
17111,IL,McHenry,52.42121757470352
12115,FL,Sarasota,52.41224949040944
42017,PA,Bucks,52.410946614962526
46079,SD,Lake,52.40845193570751
8015,CO,Chaffee,52.38966553309744
20131,KS,Nemaha,52.36625742339824
38000,,,52.32640663776565
46011,SD,Brookings,52.310516043915406
13117,GA,Forsyth,52.307252426222526
31141,NE,Platte,52.27215238701306
48259,TX,Kendall,52.245315593060965
25023,MA,Plymouth,52.23570525757785
24003,MD,Anne Arundel,52.22818604654813
36081,NY,Queens,52.1962053305551
56019,WY,Johnson,52.19397499821454
27015,MN,Brown,52.13119804854913
31137,NE,Phelps,52.110513353246006
12011,FL,Broward,52.103396722681644
36109,NY,Tompkins,52.08883311918579
51087,VA,Henrico,52.08719277836762
41005,OR,Clackamas,52.06815206592297
42045,PA,Delaware,52.05676133765114
10003,DE,New Castle,52.028694293956406
24005,MD,Baltimore,52.02106366834478
17019,IL,Champaign,51.88297795556709
6095,CA,Solano,51.87742713468243
51685,VA,Manassas Park,51.87537360395854
31079,NE,Hall,51.86259955941201
27149,MN,Stevens,51.837943646178644
50023,VT,Washington,51.75723951090027
13089,GA,DeKalb,51.74584625144881
31129,NE,Nuckolls,51.718049281736356
49051,UT,Wasatch,51.70216780190704
50001,VT,Addison,51.686146179215235
12086,FL,Miami-Dade,51.6735783327016
42041,PA,Cumberland,51.66246950399756
27055,MN,Houston,51.63068373635065
6111,CA,Ventura,51.60944554359349
31081,NE,Hamilton,51.60351951756094
31071,NE,Garfield,51.60145146180611
41000,,,51.581536746773295
46093,SD,Meade,51.540207975820415
31053,NE,Dodge,51.525911588453646
48397,TX,Rockwall,51.52025831267453
46117,SD,Stanley,51.51976388987791
37037,NC,Chatham,51.49127135386308
20063,KS,Gove,51.478218927346134
37125,NC,Moore,51.441762822228085
50027,VT,Windsor,51.395831401006056
17167,IL,Sangamon,51.39196001960022
19000,,,51.37577648259812
20025,KS,Clark,51.3645831062925
26111,MI,Midland,51.35530743820715
34041,NJ,Warren,51.3533759158069
31011,NE,Boone,51.343581916553404
50000,,,51.34357481252426
55131,WI,Washington,51.316771993999744
34017,NJ,Hudson,51.31244728046005
20045,KS,Douglas,51.306530196953815
31185,NE,York,51.2396747638168
24047,MD,Worcester,51.21966192827771
34013,NJ,Essex,51.12618687718463
16085,ID,Valley,51.12350963431916
46051,SD,Grant,51.089571719604855
24021,MD,Frederick,51.068412490331696
31001,NE,Adams,51.06365090444078
19125,IA,Marion,51.06062219414298
46055,SD,Haakon,51.04661086792811
49035,UT,Salt Lake,51.01949325422948
45045,SC,Greenville,50.972175576760094
19013,IA,Black Hawk,50.96922717910574
31145,NE,Red Willow,50.96909717788134
31017,NE,Brown,50.9533245544075
27137,MN,St. Louis,50.95190382604136
37189,NC,Watauga,50.939652751279326
38105,ND,Williams,50.939347341968066
36085,NY,Richmond,50.91178613844781
48491,TX,Williamson,50.90854970416123
19113,IA,Linn,50.905581167973644
55087,WI,Outagamie,50.902617282501026
27049,MN,Goodhue,50.866426298394714
50003,VT,Bennington,50.85823297610389
23013,ME,Knox,50.82422181276965
30067,MT,Park,50.815543854910025
20183,KS,Smith,50.80471536593661
53011,WA,Clark,50.73500077477908
56000,,,50.722624296399204
6083,CA,Santa Barbara,50.718600912429906
26029,MI,Charlevoix,50.70908319577837
46033,SD,Custer,50.675217606499565
55141,WI,Wood,50.66297694281049
19017,IA,Bremer,50.63561717333641
17089,IL,Kane,50.60497628044419
26093,MI,Livingston,50.59290089929686
38031,ND,Foster,50.53395981626896
23009,ME,Hancock,50.52549524588358
55009,WI,Brown,50.43740996100899
19163,IA,Scott,50.435740458138376
18173,IN,Warrick,50.40084418098275
27147,MN,Steele,50.39130515778382
6113,CA,Yolo,50.37166947382928
38065,ND,Oliver,50.34236385331328
26077,MI,Kalamazoo,50.300796162956765
2068,AK,Denali,50.29303455613623
44003,RI,Kent,50.279359539782014
17049,IL,Effingham,50.25944672007165
27003,MN,Anoka,50.24307377818115
51161,VA,Roanoke,50.22946441577015
27083,MN,Lyon,50.21440818506255
31057,NE,Dundy,50.14977844262451
51153,VA,Prince William,50.147997196495716
12117,FL,Seminole,50.13541657389827
38069,ND,Pierce,50.135272867642925
37067,NC,Forsyth,50.1259789665177
12085,FL,Martin,50.097345417142165
17197,IL,Will,50.06611564080946
49029,UT,Morgan,50.05661843872946
56001,WY,Albany,49.985100851645186
33003,NH,Carroll,49.92503204458835
16081,ID,Teton,49.90207327645691
46129,SD,Walworth,49.9009147220564
44007,RI,Providence,49.896260398188254
46067,SD,Hutchinson,49.88892539340682
2195,AK,Petersburg,49.8404595494069
51760,VA,Richmond,49.81887524035991
51085,VA,Hanover,49.80833596552192
53061,WA,Snohomish,49.79459319846671
51680,VA,Lynchburg,49.78745669543255
26065,MI,Ingham,49.760303201528586
37025,NC,Cabarrus,49.75777556893544
51810,VA,Virginia Beach,49.7531619158257
38089,ND,Stark,49.74991230292228
38077,ND,Richland,49.73685792119152
19021,IA,Buena Vista,49.69796909296612
53035,WA,Kitsap,49.65822167309903
24033,MD,Prince George's,49.59223746735586
27169,MN,Winona,49.579151669806784
27061,MN,Itasca,49.56845111164956
37055,NC,Dare,49.56733465016503
17133,IL,Monroe,49.54922118120719
21185,KY,Oldham,49.511379842888815
36047,NY,Kings,49.505138535055686
35001,NM,Bernalillo,49.48075339622469
13051,GA,Chatham,49.46999254302821
46123,SD,Tripp,49.414872045534935
49019,UT,Grand,49.41237164859737
55029,WI,Door,49.40285664911688
30001,MT,Beaverhead,49.39470722399473
46005,SD,Beadle,49.387501300688776
2050,AK,Bethel,49.38704618302778
41063,OR,Wallowa,49.38592832375774
46107,SD,Potter,49.377883724395026
29165,MO,Platte,49.37031942733346
42077,PA,Lehigh,49.343807145988876
31039,NE,Cuming,49.328755161845685
8045,CO,Garfield,49.32323898979996
27141,MN,Sherburne,49.30722533816275
38003,ND,Barnes,49.30191492217163
36093,NY,Schenectady,49.29700661893447
12000,,,49.27136650021327
13073,GA,Columbia,49.25642955815113
29019,MO,Boone,49.247104300397474
46025,SD,Clark,49.24495374414109
20123,KS,Mitchell,49.222316741062905
6037,CA,Los Angeles,49.197130822838474
34007,NJ,Camden,49.178822866930815
20161,KS,Riley,49.16809337887622
33000,,,49.15968454604834
17143,IL,Peoria,49.159176077554726
37175,NC,Transylvania,49.13823576674787
26139,MI,Ottawa,49.08158473719473
19149,IA,Plymouth,49.07052903844823
28081,MS,Lee,49.06256782542318
51735,VA,Poquoson,49.01929132832648
34037,NJ,Sussex,49.01808984681682
2063,,,49.008190378701414
37179,NC,Union,48.97448303178692
25013,MA,Hampden,48.93607502866657
26103,MI,Marquette,48.921869998760286
17113,IL,McLean,48.91627914886526
30111,MT,Yellowstone,48.8770434367154
31135,NE,Perkins,48.86198575650903
20169,KS,Saline,48.8504605776838
12103,FL,Pinellas,48.82238217058225
39035,OH,Cuyahoga,48.81897490316901
40109,OK,Oklahoma,48.79858181778467
31131,NE,Otoe,48.754923834349015
27085,MN,McLeod,48.73921268785797
53073,WA,Whatcom,48.73859253413957
30029,MT,Flathead,48.730547016815805
42000,,,48.72313940883133
27171,MN,Wright,48.7184252637142
13135,GA,Gwinnett,48.70295431988724
39165,OH,Warren,48.677382370053
51041,VA,Chesterfield,48.653701635692805
49000,,,48.632922041606406
55073,WI,Marathon,48.56474141725106
28071,MS,Lafayette,48.54017982830063
48043,TX,Brewster,48.519623455177936
19101,IA,Jefferson,48.50854909292018
50015,VT,Lamoille,48.485556368695356
15001,HI,Hawaii,48.47969096620599
21015,KY,Boone,48.475138025756024
23000,,,48.4732367246976
19027,IA,Carroll,48.43919365589818
36069,NY,Ontario,48.429204108426504
31159,NE,Seward,48.42458087101429
27075,MN,Lake,48.4063782838822
23031,ME,York,48.39916705797972
8007,CO,Archuleta,48.36258152669532
0,USA,USA,48.359328807268305
6067,CA,Sacramento,48.320022364034266
10000,,,48.261027293184846
36029,NY,Erie,48.2453775219657
23011,ME,Kennebec,48.19055367779632
24025,MD,Harford,48.18653793299866
36067,NY,Onondaga,48.17571800078881
36071,NY,Orange,48.17484200247677
8103,CO,Rio Blanco,48.15822957242529
54061,WV,Monongalia,48.14835269881246
46015,SD,Brule,48.13456449453282
38039,ND,Griggs,48.12890686892454
17077,IL,Jackson,48.123302328621854
49053,UT,Washington,48.11208859175163
51000,,,48.10445124496011
25011,MA,Franklin,48.05951584298585
31059,NE,Fillmore,48.055138964794
12087,FL,Monroe,47.99086442781284
8041,CO,El Paso,47.96121146079525
56021,WY,Laramie,47.95920704867104
42043,PA,Dauphin,47.94767308646418
27005,MN,Becker,47.89483499006452
20151,KS,Pratt,47.887536983322335
39049,OH,Franklin,47.875485914732536
31101,NE,Keith,47.865995474510335
46059,SD,Hand,47.8497178826155
46019,SD,Butte,47.839222051790465
53057,WA,Skagit,47.837560689302485
8049,CO,Grand,47.81997490602126
37081,NC,Guilford,47.818459470017395
30027,MT,Fergus,47.81764473021652
31047,NE,Dawson,47.80486966193764
8065,CO,Lake,47.78159078041574
42019,PA,Butler,47.75678540213353
45079,SC,Richland,47.73739763561428
56025,WY,Natrona,47.728902048215055
56023,WY,Lincoln,47.723744276130816
53029,WA,Island,47.69346323608117
12061,FL,Indian River,47.69182706413744
55125,WI,Vilas,47.674692559551715
28121,MS,Rankin,47.671445359621394
46047,SD,Fall River,47.66005014687728
21111,KY,Jefferson,47.65937392328267
42095,PA,Northampton,47.64278671457937
17093,IL,Kendall,47.62539693573488
55000,,,47.62432767608922
42027,PA,Centre,47.603070236477286
16055,ID,Kootenai,47.59725971370397
53009,WA,Clallam,47.596087406030264
33017,NH,Strafford,47.55341886685109
46045,SD,Edmunds,47.5169255173126
20109,KS,Logan,47.50799717723407
37089,NC,Henderson,47.48574757309461
53071,WA,Walla Walla,47.47622843336196
19183,IA,Washington,47.454373977039666
19087,IA,Henry,47.43327542308854
39057,OH,Greene,47.43027997092141
19189,IA,Winnebago,47.41173943391929
23019,ME,Penobscot,47.41062106559508
48113,TX,Dallas,47.40684389707929
19157,IA,Poweshiek,47.4013311907476
55139,WI,Winnebago,47.36900829513197
8019,CO,Clear Creek,47.305614111277684
55109,WI,St. Croix,47.24186351531971
27091,MN,Martin,47.23630973351641
36027,NY,Dutchess,47.22258916507697
38073,ND,Ransom,47.19371565576678
46027,SD,Clay,47.13060464653146
53031,WA,Jefferson,47.09988697975059
20121,KS,Miami,47.09534170341965
21117,KY,Kenton,47.08960292516014
27039,MN,Dodge,47.084439757285594
19187,IA,Webster,47.06900797234881
19119,IA,Lyon,47.05484755432433
20000,,,47.03411891642187
20177,KS,Shawnee,47.016137707379876
12071,FL,Lee,47.013026277791
27025,MN,Chisago,46.998906938648844
33005,NH,Cheshire,46.98511781907399
19075,IA,Grundy,46.97842721518833
42129,PA,Westmoreland,46.89772051152352
31049,NE,Deuel,46.890960625007914
48091,TX,Comal,46.881724170760606
19145,IA,Page,46.878059751318126
31065,NE,Furnas,46.84836717346258
37031,NC,Carteret,46.83561664489487
38009,ND,Bottineau,46.833971072794505
51091,VA,Highland,46.82419435994031
31179,NE,Wayne,46.79094869783974
48171,TX,Gillespie,46.78121896858794
42069,PA,Lackawanna,46.780823682195376
50025,VT,Windham,46.77085544256269
56015,WY,Goshen,46.72345699599214
26000,,,46.698765064203364
12095,FL,Orange,46.67305904835075
48339,TX,Montgomery,46.66510453645284
31093,NE,Howard,46.653914675732885
31037,NE,Colfax,46.6143539807834
20113,KS,McPherson,46.5785275418802
8079,CO,Mineral,46.565312772834076
24009,MD,Calvert,46.56329925498414
20193,KS,Thomas,46.543819102577004
56017,WY,Hot Springs,46.52784366618364
55091,WI,Pepin,46.52622668711722
46115,SD,Spink,46.52250103727419
37051,NC,Cumberland,46.520067480538344
55111,WI,Sauk,46.5188416836714
56005,WY,Campbell,46.51096374127147
18063,IN,Hendricks,46.499491143129966
55117,WI,Sheboygan,46.45486852959645
37000,,,46.4316538828256
55085,WI,Oneida,46.41563111157789
38033,ND,Golden Valley,46.38402988717585
49049,UT,Utah,46.38071554321384
48211,TX,Hemphill,46.364831520217926
19029,IA,Cass,46.364548409517184
26043,MI,Dickinson,46.34467476943862
42119,PA,Union,46.34390484976908
27111,MN,Otter Tail,46.310054133102845
19175,IA,Union,46.30944610458441
31151,NE,Saline,46.29671888460855
17001,IL,Adams,46.282022668612285
24017,MD,Charles,46.27623096866559
27121,MN,Pope,46.270994878378325
8085,CO,Montrose,46.244480307461586
29183,MO,St. Charles,46.23960865130983
30081,MT,Ravalli,46.20748950699687
38099,ND,Walsh,46.20671561591594
53067,WA,Thurston,46.20630688414787
1117,AL,Shelby,46.2055685834809
31041,NE,Custer,46.196765059444886
9001,CT,Fairfield,46.19310569450516
13057,GA,Cherokee,46.186158843087256
50021,VT,Rutland,46.182411826954045
26089,MI,Leelanau,46.17718947477878
19121,IA,Madison,46.141304496068734
27105,MN,Nobles,46.13121677251115
8001,CO,Adams,46.123480371481904
53063,WA,Spokane,46.10872528319832
4013,AZ,Maricopa,46.105969125014894
45091,SC,York,46.09145116463005
41029,OR,Jackson,46.088383929017716
41039,OR,Lane,46.08817971183297
19057,IA,Des Moines,46.08358018780582
16000,,,46.04904926497956
51550,VA,Chesapeake,46.04715931136433
46101,SD,Moody,46.045260208046855
31111,NE,Lincoln,46.027702112367976
39103,OH,Medina,46.01381690233959
34031,NJ,Passaic,46.009432760809695
46089,SD,McPherson,45.980752519439335
36111,NY,Ulster,45.974390974917874
28049,MS,Hinds,45.967324353414305
19181,IA,Warren,45.96125838921805
21145,KY,McCracken,45.95369923400197
30000,,,45.94657106087192
13245,GA,Richmond,45.943738000032056
19105,IA,Jones,45.92847988469862
30009,MT,Carbon,45.92288763183989
46077,SD,Kingsbury,45.89892317406345
38081,ND,Sargent,45.89192730105635
48041,TX,Brazos,45.8902015255943
31157,NE,Scotts Bluff,45.87661724060683
37097,NC,Iredell,45.84299151959791
51790,VA,Staunton,45.820377160467544
31149,NE,Rock,45.80837946225559
31155,NE,Saunders,45.79212441001576
55095,WI,Polk,45.790006282892314
53005,WA,Benton,45.78748246892891
34009,NJ,Cape May,45.78541725252619
53053,WA,Pierce,45.74346726817513
21037,KY,Campbell,45.740718622425
20137,KS,Norton,45.726640070776625
27133,MN,Rock,45.72389446120659
37099,NC,Jackson,45.67553132478684
27027,MN,Clay,45.66960917821515
55003,WI,Ashland,45.65579489794184
19099,IA,Jasper,45.64075582235549
16057,ID,Latah,45.63376441199067
19055,IA,Delaware,45.62834149294022
2122,AK,Kenai Peninsula,45.61983626896354
12057,FL,Hillsborough,45.605816129641866
24013,MD,Carroll,45.58468233403567
38027,ND,Eddy,45.583644420742836
30025,MT,Fallon,45.582058073442575
27113,MN,Pennington,45.57245589591159
17103,IL,Lee,45.55447152919793
48000,,,45.54264225358481
19003,IA,Adams,45.526192762761134
35055,NM,Taos,45.500908244418646
39055,OH,Geauga,45.4815176659393
18037,IN,Dubois,45.45882556400092
42011,PA,Berks,45.43658644467197
33001,NH,Belknap,45.43139201668846
21239,KY,Woodford,45.4287153448221
1073,AL,Jefferson,45.423669573193756
30059,MT,Meagher,45.423273880136435
20103,KS,Leavenworth,45.42326801184351
31177,NE,Washington,45.42047470127273
35000,,,45.415817637755175
38059,ND,Morton,45.412860876428766
20173,KS,Sedgwick,45.39876419372947
26099,MI,Macomb,45.3748438045408
32031,NV,Washoe,45.37328248540537
38097,ND,Traill,45.370420249014614
38021,ND,Dickey,45.36542107499831
55105,WI,Rock,45.36447560607419
26105,MI,Mason,45.35505337783618
19015,IA,Boone,45.35261898552482
55097,WI,Portage,45.33255067584302
39061,OH,Hamilton,45.3154008681555
8073,CO,Lincoln,45.30714001925198
55045,WI,Green,45.30352898874193
55127,WI,Walworth,45.29548144653936
30097,MT,Sweet Grass,45.283399793692936
20067,KS,Grant,45.273817049255996
19141,IA,O'Brien,45.27148544370183
19019,IA,Buchanan,45.27108069374845
19063,IA,Emmet,45.26900965915548
18081,IN,Johnson,45.26310091506207
12081,FL,Manatee,45.256506510714445
37043,NC,Clay,45.24897708941663
27119,MN,Polk,45.24772640766297
20079,KS,Harvey,45.24436411217768
38045,ND,LaMoure,45.24283401557225
27045,MN,Fillmore,45.239314484964765
55071,WI,Manitowoc,45.234861382060224
19127,IA,Marshall,45.22633463424333
32000,,,45.20144846171823
19139,IA,Muscatine,45.19602158825604
34029,NJ,Ocean,45.190610521569155
29001,MO,Adair,45.16838941314294
31023,NE,Butler,45.16135463690707
25005,MA,Bristol,45.15170685657831
46039,SD,Deuel,45.139363221566924
19083,IA,Hardin,45.13244397616102
55011,WI,Buffalo,45.12273747950162
9003,CT,Hartford,45.10706947368817
19165,IA,Shelby,45.08919926004612
37049,NC,Craven,45.081689469933686
20027,KS,Clay,45.04011468531936
8123,CO,Weld,45.023121261898574
30021,MT,Dawson,45.01627165579433
31067,NE,Gage,45.00609143190589
32005,NV,Douglas,45.00442286205288
50017,VT,Orange,44.98192567534055
12119,FL,Sumter,44.955110271224086
20171,KS,Scott,44.94046648204188
22071,LA,Orleans,44.93855119915146
6053,CA,Monterey,44.930034424597146
46091,SD,Marshall,44.9285154128016
48023,TX,Baylor,44.91804613841554
20195,KS,Trego,44.91509540613526
34015,NJ,Gloucester,44.90842436421593
36045,NY,Jefferson,44.87744756112759
55079,WI,Milwaukee,44.872839362010446
51075,VA,Goochland,44.864729938547825
30017,MT,Custer,44.8263660729538
31043,NE,Dakota,44.82001505923548
19067,IA,Floyd,44.745293244947504
27007,MN,Beltrami,44.743522694945625
38019,ND,Cavalier,44.742422747630656
46009,SD,Bon Homme,44.7368862840719
19095,IA,Iowa,44.72271200288643
13085,GA,Dawson,44.66644966988288
4000,,,44.65655649564215
27011,MN,Big Stone,44.63960925347727
27099,MN,Mower,44.63495424226104
42125,PA,Washington,44.60519450748918
18005,IN,Bartholomew,44.5912995064138
51179,VA,Stafford,44.57558387516208
55005,WI,Barron,44.57094732862507
30093,MT,Silver Bow,44.56555387992156
49005,UT,Cache,44.56100256498623
23023,ME,Sagadahoc,44.55932722749071
31099,NE,Kearney,44.53969334028955
30013,MT,Cascade,44.53054980128783
19193,IA,Woodbury,44.52363450719544
31167,NE,Stanton,44.52337538186189
31013,NE,Box Butte,44.50763441820596
51121,VA,Montgomery,44.49058343515117
49001,UT,Beaver,44.46651911534598
55101,WI,Racine,44.442968522632455
55015,WI,Calumet,44.43885587384338
