State,County,Year,Violent Crime,Property Crime
Florida,Santa Rosa,2020,221,1276
Florida,Sarasota,2020,489,3844
Florida,Seminole,2020,438,1852
Florida,St. Johns,2020,293,1654
Florida,St. Lucie,2020,297,1072
Florida,Sumter,2020,210,783
Florida,Volusia,2020,645,1798
Florida,Wakulla,2020,82,421
Florida,Walton,2020,87,680
Florida,Bradford,2020,34,76
Florida,Calhoun,2020,33,78
Florida,Columbia,2020,170,802
Florida,DeSoto,2020,137,453
Florida,Dixie,2020,80,139
Florida,Franklin,2020,32,211
Florida,Glades,2020,33,93
Florida,Gulf,2020,60,159
Florida,Hamilton,2020,46,195
Florida,Hardee,2020,74,283
Florida,Hendry,2020,117,550
Florida,Holmes,2020,57,156
Florida,Lafayette,2020,26,21
Florida,Liberty,2020,6,54
Florida,Madison,2020,127,162
Florida,Monroe,2020,190,520
Florida,Okeechobee,2020,194,832
Florida,Putnam,2020,89,745
Florida,Suwannee,2020,157,444
Florida,Taylor,2020,65,208
Florida,Union,2020,37,97
Florida,Washington,2020,27,110
Georgia,Barrow,2020,98,968
Georgia,Bartow,2020,101,1373
Georgia,Bibb,2020,1438,5199
Georgia,Brantley,2020,36,349
Georgia,Brooks,2020,43,164
Georgia,Bryan,2020,60,191
Georgia,Burke,2020,36,221
Georgia,Butts,2020,34,185
Georgia,Carroll,2020,172,1094
Georgia,Catoosa,2020,98,549
Georgia,Cherokee,2020,144,728
Georgia,Clayton County Police Department,2020,1504,5565
Georgia,Cobb,2020,26,302
Georgia,Cobb County Police Department,2020,1353,7980
Georgia,Coweta,2020,647,841
Georgia,Crawford,2020,23,148
Georgia,Dougherty,2020,1,10
Georgia,Dougherty County Police Department,2020,56,259
Georgia,Douglas,2020,244,1045
Georgia,Echols,2020,3,13
Georgia,Effingham,2020,37,277
Georgia,Fayette,2020,38,323
Georgia,Floyd,2020,14,1
Georgia,Floyd County Police Department,2020,183,556
Georgia,Forsyth,2020,132,1103
Georgia,Hall,2020,274,1308
Georgia,Haralson,2020,86,340
Georgia,Harris,2020,5,94
Georgia,Heard,2020,21,118
Georgia,Jasper,2020,38,162
Georgia,Jones,2020,45,296
Georgia,Lanier,2020,13,106
Georgia,Lee,2020,66,385
Georgia,Liberty,2020,17,165
Georgia,Long,2020,15,85
Georgia,Lowndes,2020,141,970
Georgia,Madison,2020,74,312
Georgia,Marion,2020,6,31
Georgia,McDuffie,2020,40,149
Georgia,Meriwether,2020,45,158
Georgia,Murray,2020,97,422
Georgia,Muscogee,2020,4,3
Georgia,Newton,2020,279,1214
Georgia,Oglethorpe,2020,39,125
Georgia,Paulding,2020,375,1279
Georgia,Peach,2020,38,177
Georgia,Pickens,2020,61,227
Georgia,Pike,2020,31,170
Georgia,Spalding,2020,142,596
Georgia,Twiggs,2020,15,107
Georgia,Walton,2020,40,279
Georgia,Whitfield,2020,284,1051
Georgia,Worth,2020,52,170
Georgia,Atkinson,2020,23,76
Georgia,Baldwin,2020,119,527
Georgia,Banks,2020,37,320
Georgia,Ben Hill,2020,44,166
Georgia,Berrien,2020,28,151
Georgia,Bleckley,2020,21,94
Georgia,Charlton,2020,17,55
Georgia,Chattooga,2020,23,255
Georgia,Clay,2020,8,31
Georgia,Cook,2020,17,148
Georgia,Crisp,2020,14,265
Georgia,Decatur,2020,32,263
Georgia,Dodge,2020,22,192
Georgia,Early,2020,15,77
Georgia,Elbert,2020,21,157
Georgia,Franklin,2020,24,207
Georgia,Gilmer,2020,91,210
Georgia,Gordon,2020,61,437
Georgia,Grady,2020,35,300
Georgia,Greene,2020,35,131
Georgia,Habersham,2020,16,259
Georgia,Hancock,2020,16,48
Georgia,Irwin,2020,8,76
Georgia,Jackson,2020,81,643
Georgia,Jeff Davis,2020,23,63
Georgia,Jenkins,2020,7,37
Georgia,Laurens,2020,74,418
Georgia,Lumpkin,2020,55,235
Georgia,Mitchell,2020,21,251
Georgia,Pierce,2020,48,277
Georgia,Polk,2020,5,1
Georgia,Polk County Police Department,2020,44,459
Georgia,Pulaski,2020,35,192
Georgia,Rabun,2020,9,170
Georgia,Seminole,2020,13,75
Georgia,Sumter,2020,19,104
Georgia,Tattnall,2020,26,201
Georgia,Thomas,2020,63,409
Georgia,Tift,2020,178,592
Georgia,Towns,2020,14,60
Georgia,Treutlen,2020,2,47
Georgia,Turner,2020,10,60
Georgia,Union,2020,12,217
Georgia,Ware,2020,42,137
Georgia,Webster,2020,0,0
Georgia,White,2020,24,91
Georgia,Wilcox,2020,9,57
Georgia,Wilkes,2020,94,199
Georgia,Wilkinson,2020,10,31
Hawaii,Hawaii Police Department,2020,613,4030
Hawaii,Kauai Police Department,2020,194,1083
Idaho,Ada,2020,243,685
Idaho,Boise,2020,29,48
Idaho,Bonneville,2020,130,654
Idaho,Butte,2020,4,5
Idaho,Canyon,2020,152,397
Idaho,Gem,2020,14,44
Idaho,Jefferson,2020,13,143
Idaho,Jerome,2020,34,77
Idaho,Kootenai,2020,101,750
Idaho,Nez Perce,2020,12,49
Idaho,Owyhee,2020,17,49
Idaho,Power,2020,16,55
Idaho,Twin Falls,2020,51,
Idaho,Adams,2020,9,48
Idaho,Bear Lake,2020,0,0
Idaho,Benewah,2020,30,53
Idaho,Bingham,2020,29,161
Idaho,Blaine,2020,12,9
Idaho,Bonner,2020,46,252
Idaho,Boundary,2020,12,38
Idaho,Camas,2020,2,2
Idaho,Caribou,2020,6,16
Idaho,Cassia,2020,36,228
Idaho,Clearwater,2020,11,6
Idaho,Custer,2020,7,20
Idaho,Elmore,2020,32,13
Idaho,Fremont,2020,18,39
Idaho,Gooding,2020,19,45
Idaho,Latah,2020,17,101
Idaho,Lemhi,2020,7,3
Idaho,Lewis,2020,2,40
Idaho,Lincoln,2020,5,21
Idaho,Madison,2020,11,11
Idaho,Minidoka,2020,9,106
Idaho,Oneida,2020,2,37
Idaho,Payette,2020,27,60
Idaho,Shoshone,2020,29,99
Idaho,Teton,2020,13,23
Idaho,Valley,2020,19,59
Idaho,Washington,2020,10,15
Illinois,Alexander,2020,6,
Illinois,Champaign,2020,22,
Illinois,Clinton,2020,6,
Illinois,Cook,2020,222,
Illinois,DeKalb,2020,24,
Illinois,Fulton,2020,13,
Illinois,Grundy,2020,12,
Illinois,Henry,2020,11,
Illinois,Jackson,2020,34,
Illinois,Jersey,2020,24,
Illinois,Johnson,2020,13,
Illinois,Kane,2020,92,
Illinois,Kankakee,2020,40,
Illinois,Kendall,2020,18,
Illinois,Lake,2020,92,
Illinois,Macon,2020,30,
Illinois,Macoupin,2020,10,
Illinois,Madison,2020,162,
Illinois,Marshall,2020,4,
Illinois,McHenry,2020,66,
Illinois,McLean,2020,36,
Illinois,Mercer,2020,10,
Illinois,Monroe,2020,15,
Illinois,Peoria,2020,85,
Illinois,Piatt,2020,20,
Illinois,Rock Island,2020,40,
Illinois,Sangamon,2020,182,
Illinois,Stark,2020,7,
Illinois,Tazewell,2020,24,
Illinois,Vermilion,2020,54,
Illinois,Will,2020,158,
Illinois,Winnebago,2020,102,
Illinois,Bureau,2020,18,
Illinois,Carroll,2020,6,
Illinois,Christian,2020,10,
Illinois,Clark,2020,11,
Illinois,Clay,2020,5,
Illinois,Coles,2020,19,
Illinois,Crawford,2020,9,
Illinois,Cumberland,2020,1,
Illinois,Effingham,2020,20,
Illinois,Fayette,2020,2,
Illinois,Ford,2020,11,
Illinois,Franklin,2020,17,
Illinois,Gallatin,2020,3,
Illinois,Hancock,2020,6,
Illinois,Iroquois,2020,12,
Illinois,Jasper,2020,16,
Illinois,Jefferson,2020,39,
Illinois,Jo Daviess,2020,6,
Illinois,Knox,2020,62,
Illinois,La Salle,2020,65,
Illinois,Lee,2020,25,
Illinois,Livingston,2020,40,
Illinois,Logan,2020,18,
Illinois,Marion,2020,17,
Illinois,McDonough,2020,5,
Illinois,Montgomery,2020,34,
Illinois,Morgan,2020,10,
Illinois,Ogle,2020,23,
Illinois,Perry,2020,10,
Illinois,Putnam,2020,6,
Illinois,Randolph,2020,6,
Illinois,Schuyler,2020,0,
Illinois,Scott,2020,1,
Illinois,Stephenson,2020,13,
Illinois,Union,2020,15,
Illinois,Wabash,2020,1,
Illinois,Warren,2020,14,
Illinois,Washington,2020,7,
Illinois,Wayne,2020,7,
Illinois,Whiteside,2020,17,
Indiana,Clark,2020,59,356
Indiana,Franklin,2020,8,116
Indiana,Hancock,2020,55,190
Indiana,Hendricks,2020,46,469
Indiana,Howard,2020,53,138
Indiana,Johnson,2020,18,205
Indiana,Lake,2020,45,314
Indiana,La Porte,2020,45,
Indiana,Monroe,2020,35,555
Indiana,St. Joseph,2020,78,1254
Indiana,Tippecanoe,2020,48,430
Indiana,Vigo,2020,91,914
Indiana,Greene,2020,30,179
Indiana,Jackson,2020,17,32
Indiana,Jennings,2020,8,99
Indiana,Kosciusko,2020,107,410
Indiana,Miami,2020,16,77
Indiana,Montgomery,2020,15,197
Indiana,Noble,2020,20,155
Indiana,Starke,2020,45,223
Indiana,Steuben,2020,13,251
Indiana,Wells,2020,5,38
Iowa,Black Hawk,2020,42,130
Iowa,Boone,2020,14,
Iowa,Bremer,2020,2,37
Iowa,Dallas,2020,48,83
Iowa,Dubuque,2020,22,148
Iowa,Grundy,2020,5,54
Iowa,Guthrie,2020,1,41
Iowa,Harrison,2020,9,56
Iowa,Jasper,2020,11,30
Iowa,Linn,2020,28,263
Iowa,Madison,2020,9,43
Iowa,Mills,2020,13,70
Iowa,Polk,2020,120,711
Iowa,Pottawattamie,2020,55,241
Iowa,Scott,2020,28,163
Iowa,Story,2020,18,96
Iowa,Warren,2020,36,136
Iowa,Washington,2020,39,85
Iowa,Woodbury,2020,32,93
Iowa,Adair,2020,8,26
Iowa,Adams,2020,9,23
Iowa,Allamakee,2020,2,32
Iowa,Appanoose,2020,16,93
Iowa,Buchanan,2020,24,78
Iowa,Buena Vista,2020,10,44
Iowa,Butler,2020,4,37
Iowa,Calhoun,2020,2,13
Iowa,Carroll,2020,3,10
Iowa,Cass,2020,12,44
Iowa,Cedar,2020,8,36
Iowa,Cerro Gordo,2020,15,120
Iowa,Cherokee,2020,5,18
Iowa,Chickasaw,2020,8,23
Iowa,Clarke,2020,4,26
Iowa,Clay,2020,5,15
Iowa,Clayton,2020,11,27
Iowa,Clinton,2020,28,139
Iowa,Crawford,2020,3,2
Iowa,Davis,2020,0,9
Iowa,Delaware,2020,27,41
Iowa,Des Moines,2020,11,
Iowa,Dickinson,2020,9,24
Iowa,Emmet,2020,13,16
Iowa,Fayette,2020,20,52
Iowa,Floyd,2020,3,14
Iowa,Fremont,2020,40,75
Iowa,Hamilton,2020,3,44
Iowa,Hancock,2020,3,34
Iowa,Hardin,2020,11,74
Iowa,Henry,2020,33,66
Iowa,Howard,2020,2,27
Iowa,Humboldt,2020,0,59
Iowa,Ida,2020,8,57
Iowa,Iowa,2020,15,19
Iowa,Jackson,2020,10,52
Iowa,Jefferson,2020,4,30
Iowa,Keokuk,2020,9,37
Iowa,Kossuth,2020,13,20
Iowa,Lee,2020,12,86
Iowa,Louisa,2020,15,56
Iowa,Lucas,2020,12,60
Iowa,Lyon,2020,15,44
Iowa,Mahaska,2020,10,56
Iowa,Marion,2020,36,48
Iowa,Marshall,2020,44,89
Iowa,Mitchell,2020,3,13
Iowa,Monona,2020,11,30
Iowa,Monroe,2020,3,14
Iowa,Muscatine,2020,19,58
Iowa,O'Brien,2020,33,103
Iowa,Osceola,2020,10,54
Iowa,Page,2020,4,13
Iowa,Palo Alto,2020,12,52
Iowa,Plymouth,2020,6,28
Iowa,Pocahontas,2020,11,30
Iowa,Poweshiek,2020,13,56
Iowa,Ringgold,2020,3,25
Iowa,Sac,2020,6,36
Iowa,Shelby,2020,3,20
Iowa,Sioux,2020,11,56
Iowa,Tama,2020,18,46
Iowa,Taylor,2020,7,11
Iowa,Union,2020,8,40
Iowa,Van Buren,2020,9,31
Iowa,Wapello,2020,24,96
Iowa,Wayne,2020,14,23
Iowa,Webster,2020,33,127
Iowa,Worth,2020,8,27
Kansas,Butler,2020,48,329
Kansas,Geary,2020,8,34
Kansas,Harvey,2020,22,48
Kansas,Jackson,2020,9,100
Kansas,Jefferson,2020,48,
Kansas,Johnson,2020,73,319
Kansas,Leavenworth,2020,57,150
Kansas,Miami,2020,43,131
Kansas,Osage,2020,22,54
Kansas,Pottawatomie,2020,37,
Kansas,Riley County Police Department,2020,212,1266
Kansas,Sedgwick,2020,97,365
Kansas,Shawnee,2020,85,
Kansas,Sumner,2020,22,
Kansas,Wabaunsee,2020,16,94
Kansas,Wyandotte,2020,30,51
Kansas,Allen,2020,25,54
Kansas,Anderson,2020,14,32
Kansas,Atchison,2020,3,2
Kansas,Barber,2020,8,16
Kansas,Barton,2020,8,
Kansas,Bourbon,2020,18,48
Kansas,Brown,2020,5,12
Kansas,Cherokee,2020,30,175
Kansas,Clark,2020,3,11
Kansas,Clay,2020,8,12
Kansas,Cloud,2020,14,48
Kansas,Comanche,2020,2,6
Kansas,Cowley,2020,21,103
Kansas,Ellis,2020,9,35
Kansas,Ellsworth,2020,4,42
Kansas,Finney,2020,39,158
Kansas,Ford,2020,14,54
Kansas,Franklin,2020,32,97
Kansas,Grant,2020,3,9
Kansas,Gray,2020,9,45
Kansas,Greeley,2020,1,3
Kansas,Greenwood,2020,12,68
Kansas,Hamilton,2020,6,24
Kansas,Harper,2020,4,51
Kansas,Haskell,2020,7,17
Kansas,Hodgeman,2020,2,5
Kansas,Kearny,2020,18,57
Kansas,Kingman,2020,1,78
Kansas,Kiowa,2020,6,19
Kansas,Labette,2020,9,
Kansas,Lane,2020,4,24
Kansas,Logan,2020,7,6
Kansas,Marion,2020,9,
Kansas,Marshall,2020,1,16
Kansas,McPherson,2020,13,54
Kansas,Montgomery,2020,15,
Kansas,Morris,2020,8,18
Kansas,Morton,2020,0,14
Kansas,Nemaha,2020,7,38
Kansas,Neosho,2020,8,
Kansas,Ness,2020,13,21
Kansas,Norton,2020,5,12
Kansas,Republic,2020,3,22
Kansas,Rice,2020,5,11
Kansas,Rooks,2020,1,31
Kansas,Rush,2020,8,
Kansas,Russell,2020,8,37
Kansas,Saline,2020,22,98
Kansas,Scott,2020,4,1
Kansas,Seward,2020,4,6
Kansas,Sherman,2020,0,0
Kansas,Smith,2020,1,8
Kansas,Stafford,2020,2,11
Kansas,Thomas,2020,8,19
Kansas,Trego,2020,0,6
Kansas,Washington,2020,3,13
Kansas,Wilson,2020,3,30
Kansas,Woodson,2020,2,44
Kentucky,Allen,2020,9,102
Kentucky,Boone,2020,73,747
Kentucky,Bourbon,2020,1,67
Kentucky,Boyd,2020,13,192
Kentucky,Bracken,2020,0,41
Kentucky,Bullitt,2020,41,380
Kentucky,Butler,2020,2,30
Kentucky,Campbell,2020,0,0
Kentucky,Campbell County Police Department,2020,17,116
Kentucky,Carter,2020,4,42
Kentucky,Christian,2020,23,254
Kentucky,Clark,2020,10,132
Kentucky,Daviess,2020,29,377
Kentucky,Edmonson,2020,4,19
Kentucky,Fayette,2020,1,0
Kentucky,Gallatin,2020,0,18
Kentucky,Grant,2020,5,149
Kentucky,Greenup,2020,3,32
Kentucky,Hancock,2020,1,24
Kentucky,Hardin,2020,30,148
Kentucky,Henderson,2020,9,174
Kentucky,Henry,2020,1,20
Kentucky,Jefferson,2020,1,2
Kentucky,Jessamine,2020,14,190
Kentucky,Kenton,2020,0,2
Kentucky,Kenton County Police Department,2020,28,96
Kentucky,Larue,2020,3,33
Kentucky,McLean,2020,6,58
Kentucky,Meade,2020,24,120
Kentucky,Oldham,2020,1,3
Kentucky,Oldham County Police Department,2020,25,471
Kentucky,Pendleton,2020,1,85
Kentucky,Scott,2020,5,155
Kentucky,Shelby,2020,21,195
Kentucky,Spencer,2020,3,55
Kentucky,Trigg,2020,6,91
Kentucky,Warren,2020,55,583
Kentucky,Woodford,2020,1,19
Kentucky,Anderson,2020,4,27
Kentucky,Ballard,2020,15,52
Kentucky,Barren,2020,16,129
Kentucky,Bath,2020,6,42
Kentucky,Bell,2020,11,88
Kentucky,Boyle,2020,0,29
Kentucky,Breathitt,2020,3,21
Kentucky,Breckinridge,2020,10,56
Kentucky,Caldwell,2020,2,23
Kentucky,Calloway,2020,9,172
Kentucky,Carlisle,2020,1,18
Kentucky,Carroll,2020,6,57
Kentucky,Casey,2020,4,40
Kentucky,Clay,2020,17,78
Kentucky,Clinton,2020,5,13
Kentucky,Crittenden,2020,3,26
Kentucky,Cumberland,2020,2,25
Kentucky,Elliott,2020,0,2
Kentucky,Estill,2020,5,35
Kentucky,Fleming,2020,2,8
Kentucky,Floyd,2020,7,56
Kentucky,Franklin,2020,8,178
Kentucky,Fulton,2020,0,5
Kentucky,Garrard County Police Department,2020,5,54
Kentucky,Graves,2020,19,198
Kentucky,Grayson,2020,14,82
Kentucky,Green,2020,1,7
Kentucky,Harlan,2020,1,22
Kentucky,Harrison,2020,3,72
Kentucky,Hart,2020,3,35
Kentucky,Hickman,2020,2,22
Kentucky,Hopkins,2020,11,153
Kentucky,Jackson,2020,4,77
Kentucky,Johnson,2020,5,43
Kentucky,Knott,2020,1,30
Kentucky,Knox,2020,5,62
Kentucky,Laurel,2020,52,447
Kentucky,Lawrence,2020,9,44
Kentucky,Lee,2020,0,14
Kentucky,Leslie,2020,4,27
Kentucky,Letcher,2020,0,10
Kentucky,Lewis,2020,0,17
Kentucky,Lincoln,2020,8,69
Kentucky,Livingston,2020,5,50
Kentucky,Logan,2020,18,86
Kentucky,Lyon,2020,5,54
Kentucky,Madison,2020,22,242
Kentucky,Magoffin,2020,2,19
Kentucky,Marion,2020,6,32
Kentucky,Marshall,2020,33,244
Kentucky,Martin,2020,6,22
Kentucky,Mason,2020,5,76
Kentucky,McCracken,2020,43,422
Kentucky,McCreary,2020,5,55
Kentucky,Menifee,2020,0,10
Kentucky,Mercer,2020,2,20
Kentucky,Metcalfe,2020,4,25
Kentucky,Monroe,2020,0,9
Kentucky,Montgomery,2020,12,244
Kentucky,Morgan,2020,6,52
Kentucky,Muhlenberg,2020,7,62
Kentucky,Nelson,2020,15,225
Kentucky,Nicholas,2020,1,6
Kentucky,Ohio,2020,18,123
Kentucky,Owen,2020,0,42
Kentucky,Owsley,2020,0,2
Kentucky,Perry,2020,16,56
Kentucky,Pike,2020,0,56
Kentucky,Powell,2020,0,18
Kentucky,Pulaski,2020,46,324
Kentucky,Rockcastle,2020,9,78
Kentucky,Rowan,2020,8,77
Kentucky,Russell,2020,3,31
Kentucky,Simpson,2020,4,40
Kentucky,Taylor,2020,9,185
Kentucky,Todd,2020,3,55
Kentucky,Trimble,2020,3,21
Kentucky,Union,2020,6,51
Kentucky,Washington,2020,2,39
Kentucky,Wayne,2020,8,34
Kentucky,Webster,2020,3,32
Kentucky,Whitley,2020,13,116
Kentucky,Wolfe,2020,2,26
Louisiana,Ascension,2020,400,1990
Louisiana,Assumption,2020,66,202
Louisiana,Bossier,2020,114,571
Louisiana,Caddo,2020,44,651
Louisiana,Calcasieu,2020,1060,4264
Louisiana,De Soto,2020,107,381
Louisiana,Iberville,2020,123,236
Louisiana,Lafayette,2020,206,935
Louisiana,Lafourche,2020,234,1988
Louisiana,Livingston,2020,457,2488
Louisiana,Morehouse,2020,42,162
Louisiana,Ouachita,2020,788,2512
Louisiana,Plaquemines,2020,60,152
Louisiana,Pointe Coupee,2020,147,233
Louisiana,Rapides,2020,380,1514
Louisiana,St. Charles,2020,182,949
Louisiana,St. Helena,2020,95,158
Louisiana,St. James,2020,57,279
Louisiana,St. John the Baptist,2020,155,865
Louisiana,St. Martin,2020,168,558
Louisiana,St. Tammany,2020,333,1332
Louisiana,Tangipahoa,2020,1242,1847
Louisiana,Terrebonne,2020,218,1783
Louisiana,Allen,2020,28,387
Louisiana,Beauregard,2020,39,240
Louisiana,Bienville,2020,35,132
Louisiana,Claiborne,2020,14,58
Louisiana,Concordia,2020,98,222
Louisiana,East Carroll,2020,24,23
Louisiana,Evangeline,2020,63,193
Louisiana,Franklin,2020,51,105
Louisiana,Jackson,2020,15,69
Louisiana,La Salle,2020,37,30
Louisiana,Lincoln,2020,63,204
Louisiana,Madison,2020,30,28
Louisiana,Natchitoches,2020,59,417
Louisiana,Red River,2020,27,141
Louisiana,Richland,2020,47,74
Louisiana,Sabine,2020,69,217
Louisiana,St. Landry,2020,148,742
Louisiana,St. Mary,2020,204,474
Louisiana,Vernon,2020,90,363
Louisiana,Washington,2020,357,494
Louisiana,Winn,2020,25,57
Maine,Androscoggin,2020,23,115
