FIPS_5digit,State,County,Housing Score
17169,IL,Schuyler County,95.0240053868522
20159,KS,Rice County,95.02284633087618
17069,IL,Hardin County,94.98763941158069
20183,KS,Smith County,94.94718176802714
5117,AR,Prairie County,94.92167079940451
18159,IN,Tipton County,94.83527143743095
19159,IA,Ringgold County,94.82788776927835
29033,MO,Carroll County,94.8245399675584
20119,KS,Meade County,94.81609141426665
17009,IL,Brown County,94.80226949020444
31039,NE,Cuming County,94.79388959386617
19149,IA,Plymouth County,94.75581167025943
38103,ND,Wells County,94.70777968257661
16007,ID,Bear Lake County,94.70081197656192
47175,TN,Van Buren County,94.67098547122518
17157,IL,Randolph County,94.67092747685338
46055,SD,Haakon County,94.62744949814068
39069,OH,Henry County,94.61468773111889
5013,AR,Calhoun County,94.60877541533065
20131,KS,Nemaha County,94.53529845258525
19173,IA,Taylor County,94.51591061780897
31027,NE,Cedar County,94.5075793989384
38075,ND,Renville County,94.49291385093353
31181,NE,Webster County,94.4874890295556
54093,WV,Tucker County,94.46467253884893
20201,KS,Washington County,94.43063449111503
39175,OH,Wyandot County,94.41511297456452
17035,IL,Cumberland County,94.41361991952309
38097,ND,Traill County,94.4020541293334
54095,WV,Tyler County,94.38149542989632
46069,SD,Hyde County,94.33208399484757
38073,ND,Ransom County,94.3129015856875
19131,IA,Mitchell County,94.2747355207863
55091,WI,Pepin County,94.2588507973354
31139,NE,Pierce County,94.2554680342681
20171,KS,Scott County,94.24576644415265
56041,WY,Uinta County,94.23140092055435
17071,IL,Henderson County,94.22668821888104
56009,WY,Converse County,94.2218642908147
46063,SD,Harding County,94.07623953198514
48151,TX,Fisher County,94.05288036846292
46003,SD,Aurora County,94.03467051405883
38031,ND,Foster County,93.96673271148404
20087,KS,Jefferson County,93.9505659443832
48345,TX,Motley County,93.91761147908508
20185,KS,Stafford County,93.8857645375166
31117,NE,McPherson County,93.83733414853947
18015,IN,Carroll County,93.83005871418858
20041,KS,Dickinson County,93.82283158166018
5025,AR,Cleveland County,93.81600525342785
48081,TX,Coke County,93.80906273602247
31171,NE,Thomas County,93.80273447101361
48109,TX,Culberson County,93.79583199596964
19089,IA,Howard County,93.78113724107598
29197,MO,Schuyler County,93.78085866954844
17017,IL,Cass County,93.77902666492433
29041,MO,Chariton County,93.77660397487718
1029,AL,Cleburne County,93.75654249879031
48275,TX,Knox County,93.74887892706292
20083,KS,Hodgeman County,93.73942977512924
17047,IL,Edwards County,93.7285543815861
29186,MO,Ste. Genevieve County,93.72561154039323
31169,NE,Thayer County,93.69418827254832
39125,OH,Paulding County,93.6812837631524
17049,IL,Effingham County,93.65714005442359
19071,IA,Fremont County,93.63725577834117
31035,NE,Clay County,93.62395489827138
20067,KS,Grant County,93.62136619578746
20097,KS,Kiowa County,93.61147340789317
20187,KS,Stanton County,93.59781892505578
20093,KS,Kearny County,93.57905348291945
19037,IA,Chickasaw County,93.56373770025208
38099,ND,Walsh County,93.55602147005082
38011,ND,Bowman County,93.55185568450194
19189,IA,Winnebago County,93.54198153851661
47109,TN,McNairy County,93.53601714939674
39107,OH,Mercer County,93.53000616735912
20053,KS,Ellsworth County,93.52308152381352
17045,IL,Edgar County,93.52063904659995
31159,NE,Seward County,93.49110026686498
17067,IL,Hancock County,93.48185013631249
30075,MT,Powder River County,93.44445919708824
31107,NE,Knox County,93.42576750249006
31125,NE,Nance County,93.40395576496195
27063,MN,Jackson County,93.37764322928028
31037,NE,Colfax County,93.36768710340235
20033,KS,Comanche County,93.3497138277371
20145,KS,Pawnee County,93.3224451856946
46107,SD,Potter County,93.32079456825592
39011,OH,Auglaize County,93.28464884515608
48017,TX,Bailey County,93.28277109086405
17139,IL,Moultrie County,93.2575673347665
38067,ND,Pembina County,93.24808229696131
4011,AZ,Greenlee County,93.2446925749792
29051,MO,Cole County,93.24398542629689
19119,IA,Lyon County,93.22344838150762
29151,MO,Osage County,93.22164167843847
19151,IA,Pocahontas County,93.18476601500846
20141,KS,Osborne County,93.1794870924493
38045,ND,LaMoure County,93.17277001275664
20017,KS,Chase County,93.16565639193064
19167,IA,Sioux County,93.16515302361
29073,MO,Gasconade County,93.13684660453187
1027,AL,Clay County,93.12514592446544
19067,IA,Floyd County,93.11437167209509
27167,MN,Wilkin County,93.11301680194691
38083,ND,Sheridan County,93.11188506260437
46061,SD,Hanson County,93.1012130342947
46135,SD,Yankton County,93.0881353659983
54007,WV,Braxton County,93.07520536801
31097,NE,Johnson County,93.07217538230319
48111,TX,Dallam County,93.0175463820237
46119,SD,Sully County,93.00779892592915
31057,NE,Dundy County,92.98852893904504
17187,IL,Warren County,92.98770492701506
39135,OH,Preble County,92.97704934895792
19097,IA,Jackson County,92.96808309189842
19075,IA,Grundy County,92.93660849796633
46015,SD,Brule County,92.92763307568224
29227,MO,Worth County,92.92751484602277
29205,MO,Shelby County,92.92212001362891
38009,ND,Bottineau County,92.92168783774952
1075,AL,Lamar County,92.92032328716823
19017,IA,Bremer County,92.9202332950306
48065,TX,Carson County,92.90793958768755
40093,OK,Major County,92.88225956940963
19161,IA,Sac County,92.83341899244556
19105,IA,Jones County,92.82805466892084
20089,KS,Jewell County,92.8128033115043
54021,WV,Gilmer County,92.81134767180384
49015,UT,Emery County,92.80673689232484
38033,ND,Golden Valley County,92.78565363705297
19191,IA,Winneshiek County,92.77489616244226
17155,IL,Putnam County,92.76510196715664
48319,TX,Mason County,92.7629036541504
38029,ND,Emmons County,92.71439205346265
5053,AR,Grant County,92.69614457624839
17101,IL,Lawrence County,92.67439017203618
46009,SD,Bon Homme County,92.65888154432399
46021,SD,Campbell County,92.64799041423267
19091,IA,Humboldt County,92.64770484333123
40059,OK,Harper County,92.64274678478824
29157,MO,Perry County,92.63749505282259
38091,ND,Steele County,92.61539391613206
48413,TX,Schleicher County,92.60613857183621
13219,GA,Oconee County,92.57066010334763
48333,TX,Mills County,92.554921710525
29129,MO,Mercer County,92.55052755818288
56017,WY,Hot Springs County,92.538098517233
19015,IA,Boone County,92.52511678522667
48033,TX,Borden County,92.50953628719412
38087,ND,Slope County,92.49621656933273
29063,MO,DeKalb County,92.49329299152383
19035,IA,Cherokee County,92.49050165320828
21225,KY,Union County,92.47957470574649
18125,IN,Pike County,92.46874317277452
21027,KY,Breckinridge County,92.45090400540411
13125,GA,Glascock County,92.4501760816778
46075,SD,Jones County,92.4344047057462
31049,NE,Deuel County,92.4319885801907
17145,IL,Perry County,92.43124173936123
18069,IN,Huntington County,92.41610032730668
46059,SD,Hand County,92.39837863962741
29175,MO,Randolph County,92.39374639066425
20193,KS,Thomas County,92.38777428220043
18133,IN,Putnam County,92.38366122196055
1067,AL,Henry County,92.36918053378687
31099,NE,Kearney County,92.3529288059767
20031,KS,Coffey County,92.34984684540068
27155,MN,Traverse County,92.34304886016056
46067,SD,Hutchinson County,92.32731681624472
51021,VA,Bland County,92.32027207646513
39149,OH,Shelby County,92.31487367536059
19081,IA,Hancock County,92.30134265501155
20025,KS,Clark County,92.29455936843902
20197,KS,Wabaunsee County,92.28695901095033
17159,IL,Richland County,92.28399422864432
19099,IA,Jasper County,92.28006168760064
36121,NY,Wyoming County,92.2730464176022
48461,TX,Upton County,92.25559354057962
38049,ND,McHenry County,92.2506890171989
27173,MN,Yellow Medicine County,92.23774794603237
16029,ID,Caribou County,92.22374247476827
39121,OH,Noble County,92.22261471640387
19095,IA,Iowa County,92.18411213290517
54053,WV,Mason County,92.17943522267633
17015,IL,Carroll County,92.16898527857464
39037,OH,Darke County,92.15324908590875
19023,IA,Butler County,92.14992316032796
19115,IA,Louisa County,92.14647630811709
55083,WI,Oconto County,92.11154920107379
27133,MN,Rock County,92.10606454786753
48169,TX,Garza County,92.10404626212984
46037,SD,Day County,92.0712603245851
17189,IL,Washington County,92.06717941137791
17079,IL,Jasper County,92.04782961374798
55069,WI,Lincoln County,92.04703659398106
27089,MN,Marshall County,92.03060949987284
21233,KY,Webster County,92.02072984413667
1019,AL,Cherokee County,92.00758422564053
20047,KS,Edwards County,91.99698103403921
21167,KY,Mercer County,91.99461285177713
38043,ND,Kidder County,91.99370389622706
54103,WV,Wetzel County,91.981803558256
39021,OH,Champaign County,91.97209842112652
56023,WY,Lincoln County,91.96437970955873
38051,ND,McIntosh County,91.95868043231373
32027,NV,Pershing County,91.95753466016234
5121,AR,Randolph County,91.94158963395198
46115,SD,Spink County,91.9310335352081
48417,TX,Shackelford County,91.91292427055261
16043,ID,Fremont County,91.89505563074552
17129,IL,Menard County,91.88761801878606
18113,IN,Noble County,91.88421729723159
29207,MO,Stoddard County,91.88086615107089
17133,IL,Monroe County,91.8767966471166
18033,IN,DeKalb County,91.8732477263594
31183,NE,Wheeler County,91.85920444774531
28057,MS,Itawamba County,91.85915109478277
46111,SD,Sanborn County,91.84957648521687
56043,WY,Washakie County,91.8418288506898
31147,NE,Richardson County,91.83680050924198
29135,MO,Moniteau County,91.83509397440653
28117,MS,Prentiss County,91.82455645543791
18087,IN,LaGrange County,91.81443915355057
54091,WV,Taylor County,91.81219553616272
18179,IN,Wells County,91.8016682915255
17061,IL,Greene County,91.78188908750678
31135,NE,Perkins County,91.77606397275376
31003,NE,Antelope County,91.76532598668534
54023,WV,Grant County,91.74666247331412
38021,ND,Dickey County,91.6882455209316
20029,KS,Cloud County,91.67697981815358
20147,KS,Phillips County,91.6745241016551
46087,SD,McCook County,91.6718551675292
1093,AL,Marion County,91.66653606784662
20165,KS,Rush County,91.65628188853913
19143,IA,Osceola County,91.63973340708304
56035,WY,Sublette County,91.6393432419132
54009,WV,Brooke County,91.61160460547401
19165,IA,Shelby County,91.59753188751924
38039,ND,Griggs County,91.58227996160353
40053,OK,Grant County,91.57864190023214
21031,KY,Butler County,91.57058919764006
47183,TN,Weakley County,91.56646746226927
29045,MO,Clark County,91.56636222101771
55071,WI,Manitowoc County,91.56592620157939
19133,IA,Monona County,91.56244852935549
48431,TX,Sterling County,91.55218917041027
21005,KY,Anderson County,91.547612716786
42123,PA,Warren County,91.54574449076064
48263,TX,Kent County,91.5447344459683
27125,MN,Red Lake County,91.53888406376234
38027,ND,Eddy County,91.53278794182319
55075,WI,Marinette County,91.5295159610421
29005,MO,Atchison County,91.48260278656284
49055,UT,Wayne County,91.47960947112453
1133,AL,Winston County,91.47042330413665
21039,KY,Carlisle County,91.46890673146531
39073,OH,Hocking County,91.46561318312447
17051,IL,Fayette County,91.44335617458611
46109,SD,Roberts County,91.43878183883419
1079,AL,Lawrence County,91.42868415585015
31021,NE,Burt County,91.38773916494169
39039,OH,Defiance County,91.38642059165183
47085,TN,Humphreys County,91.36416676096371
5009,AR,Boone County,91.36046700352225
29171,MO,Putnam County,91.35164890599218
19041,IA,Clay County,91.35015818721601
19183,IA,Washington County,91.34842976006878
17057,IL,Fulton County,91.34395473628727
18171,IN,Warren County,91.3342612963051
27015,MN,Brown County,91.31558931481604
21007,KY,Ballard County,91.31089697205533
31023,NE,Butler County,91.3072449718327
37111,NC,McDowell County,91.29666196951084
19031,IA,Cedar County,91.29466377171983
42061,PA,Huntingdon County,91.29427475157183
18037,IN,Dubois County,91.29280833515183
20013,KS,Brown County,91.26751155296414
20065,KS,Graham County,91.2386456245237
46129,SD,Walworth County,91.22220908524285
40007,OK,Beaver County,91.21223294661739
40003,OK,Alfalfa County,91.17713018695635
17173,IL,Shelby County,91.17197199163721
8017,CO,Cheyenne County,91.1692047005943
19051,IA,Davis County,91.16726138449289
19079,IA,Hamilton County,91.15705431652782
19027,IA,Carroll County,91.15522091268683
18183,IN,Whitley County,91.15223066926734
42083,PA,McKean County,91.14936817937412
48369,TX,Parmer County,91.14309891239022
39123,OH,Ottawa County,91.14268593026452
19019,IA,Buchanan County,91.13725346464773
31031,NE,Cherry County,91.13664013626237
18023,IN,Clinton County,91.12504585071008
30071,MT,Phillips County,91.1197081997268
31073,NE,Gosper County,91.1186903913965
46089,SD,McPherson County,91.09807775215847
38095,ND,Towner County,91.09753419710255
17073,IL,Henry County,91.09234118494287
35011,NM,De Baca County,91.08638956395382
46049,SD,Faulk County,91.08282239339133
17023,IL,Clark County,91.0819582693486
18045,IN,Fountain County,91.06359589637107
17085,IL,Jo Daviess County,91.06325187512857
21217,KY,Taylor County,91.06231740343951
20157,KS,Republic County,91.04728585809862
18131,IN,Pulaski County,91.04624201709044
13213,GA,Murray County,91.04252473484165
29117,MO,Livingston County,91.04104180618455
18135,IN,Randolph County,91.00553716895143
21185,KY,Oldham County,90.99103525109905
19009,IA,Audubon County,90.97788506083623
31011,NE,Boone County,90.96428495735832
47081,TN,Hickman County,90.95164511446052
39161,OH,Van Wert County,90.94976132778795
19083,IA,Hardin County,90.93044713122742
40103,OK,Noble County,90.92417662588876
31127,NE,Nemaha County,90.91399250495279
46097,SD,Miner County,90.89977007749803
27165,MN,Watonwan County,90.88711433619436
29195,MO,Saline County,90.87104238173995
5075,AR,Lawrence County,90.8467592464446
55087,WI,Outagamie County,90.84220018585398
18021,IN,Clay County,90.84128423256993
18117,IN,Orange County,90.83764211035306
54085,WV,Ritchie County,90.8330638273706
46117,SD,Stanley County,90.83068242770993
46083,SD,Lincoln County,90.8106200696648
47131,TN,Obion County,90.8064575972301
55115,WI,Shawano County,90.80603896899414
22127,LA,Winn Parish,90.80348977378661
38071,ND,Ramsey County,90.7889289803697
1095,AL,Marshall County,90.7745126959763
48269,TX,King County,90.76139166257116
5081,AR,Little River County,90.7494147042722
17117,IL,Macoupin County,90.72708939103846
31175,NE,Valley County,90.71552810042682
30105,MT,Valley County,90.71027919686645
20095,KS,Kingman County,90.7100802270826
29007,MO,Audrain County,90.70606159312844
24023,MD,Garrett County,90.68654113593253
40065,OK,Jackson County,90.68406355225169
31051,NE,Dixon County,90.66970789258694
20073,KS,Greenwood County,90.66673850470275
20123,KS,Mitchell County,90.66554433340818
13229,GA,Pierce County,90.66213690146249
31155,NE,Saunders County,90.6604584320891
17181,IL,Union County,90.65630920813939
20117,KS,Marshall County,90.6440790239845
19047,IA,Crawford County,90.61818853476434
40051,OK,Grady County,90.59914178262324
27033,MN,Cottonwood County,90.59750135267315
17125,IL,Mason County,90.59709505823308
49041,UT,Sevier County,90.59484711963725
29185,MO,St. Clair County,90.58177715511259
27043,MN,Faribault County,90.57926386662213
29121,MO,Macon County,90.5727643002035
5079,AR,Lincoln County,90.56218041311992
46105,SD,Perkins County,90.55907995760526
31165,NE,Sioux County,90.55670414400896
19005,IA,Allamakee County,90.55352598615342
40043,OK,Dewey County,90.55085940425498
17203,IL,Woodford County,90.5484681312241
54071,WV,Pendleton County,90.54816633057565
31089,NE,Holt County,90.54450969520363
22059,LA,La Salle Parish,90.52455668141833
46093,SD,Meade County,90.49887685382208
1035,AL,Conecuh County,90.49821230762153
20151,KS,Pratt County,90.49719688350513
19135,IA,Monroe County,90.49252211574412
19021,IA,Buena Vista County,90.49077541558039
39075,OH,Holmes County,90.4906597534332
20127,KS,Morris County,90.49039173037498
42057,PA,Fulton County,90.4865893250399
17025,IL,Clay County,90.4706825481055
5097,AR,Montgomery County,90.45992460504581
18155,IN,Switzerland County,90.45550484701961
27051,MN,Grant County,90.44053124116255
18169,IN,Wabash County,90.43897145216378
20081,KS,Haskell County,90.43499208627509
42067,PA,Juniata County,90.43315859083417
17195,IL,Whiteside County,90.41088566486388
37075,NC,Graham County,90.3986495557125
20009,KS,Barton County,90.39608409315764
19141,IA,O'Brien County,90.39512873091554
54065,WV,Morgan County,90.38685694179732
48433,TX,Stonewall County,90.38392593222683
22093,LA,St. James Parish,90.37325774060281
37121,NC,Mitchell County,90.37253166601306
47181,TN,Wayne County,90.36099539479308
40063,OK,Hughes County,90.34848955009133
18161,IN,Union County,90.34517959738577
39013,OH,Belmont County,90.33168618913754
18173,IN,Warrick County,90.3116767546859
28155,MS,Webster County,90.31130304526685
17039,IL,De Witt County,90.30692282218226
8033,CO,Dolores County,90.3045837389803
55065,WI,Lafayette County,90.29150363499008
26043,MI,Dickinson County,90.27507090201266
16011,ID,Bingham County,90.2592007302976
19175,IA,Union County,90.2527177897509
39171,OH,Williams County,90.24555811418418
5083,AR,Logan County,90.24082824304482
55067,WI,Langlade County,90.23606062969209
18073,IN,Jasper County,90.23061380868808
27129,MN,Renville County,90.20991116310995
22011,LA,Beauregard Parish,90.19861807431573
18051,IN,Gibson County,90.19448436516814
42111,PA,Somerset County,90.1768445384308
21169,KY,Metcalfe County,90.16009459504232
47161,TN,Stewart County,90.1477784658452
28129,MS,Smith County,90.14171394760548
17021,IL,Christian County,90.12626421450216
27091,MN,Martin County,90.1174055628592
19123,IA,Mahaska County,90.11422229817157
20001,KS,Allen County,90.10927978849196
54057,WV,Mineral County,90.10577843084273
38007,ND,Billings County,90.10428135589305
20113,KS,McPherson County,90.07932409668616
29179,MO,Reynolds County,90.07135717678713
18071,IN,Jackson County,90.0650605669372
22043,LA,Grant Parish,90.06101010876188
19109,IA,Kossuth County,90.05971388964588
29199,MO,Scotland County,90.05968596798735
47127,TN,Moore County,90.05925960628909
20023,KS,Cheyenne County,90.04585303264261
49017,UT,Garfield County,90.04330368907004
47035,TN,Cumberland County,90.03597167178866
31131,NE,Otoe County,90.02194452632038
47049,TN,Fentress County,90.0145977404845
18047,IN,Franklin County,89.99522276491722
20019,KS,Chautauqua County,89.99401771605761
46065,SD,Hughes County,89.99339151692615
1059,AL,Franklin County,89.98692511300096
27071,MN,Koochiching County,89.9858793840965
27149,MN,Stevens County,89.98279990400249
39019,OH,Carroll County,89.98063482087876
39147,OH,Seneca County,89.9699564460718
39051,OH,Fulton County,89.96980326370985
29057,MO,Dade County,89.96370726087903
28019,MS,Choctaw County,89.9601887882667
38061,ND,Mountrail County,89.9572915161687
37009,NC,Ashe County,89.9563577532222
18093,IN,Lawrence County,89.93541291883923
55061,WI,Kewaunee County,89.92732405500267
46073,SD,Jerauld County,89.92536765872505
30015,MT,Chouteau County,89.90922741081262
48289,TX,Leon County,89.90074966385706
46051,SD,Grant County,89.88015087288078
18065,IN,Henry County,89.87544652633727
51071,VA,Giles County,89.8700605578234
5105,AR,Perry County,89.8695118147586
21141,KY,Logan County,89.8691470875427
17033,IL,Crawford County,89.8667219774051
21055,KY,Crittenden County,89.85911818068368
17041,IL,Douglas County,89.85772012776225
5029,AR,Conway County,89.8456197337139
29105,MO,Laclede County,89.84286403247971
54031,WV,Hardy County,89.83964070460829
48233,TX,Hutchinson County,89.83269486598668
31069,NE,Garden County,89.82662684909192
26063,MI,Huron County,89.82356037975464
21143,KY,Lyon County,89.81636751699334
51035,VA,Carroll County,89.81447582772387
29061,MO,Daviess County,89.80804218831109
19049,IA,Dallas County,89.78920718657179
20063,KS,Gove County,89.77625176325017
29003,MO,Andrew County,89.76901315307664
48415,TX,Scurry County,89.7469249168639
17137,IL,Morgan County,89.74655290494611
47059,TN,Greene County,89.74411985661227
17153,IL,Pulaski County,89.74126788185164
48191,TX,Hall County,89.73025750809764
21011,KY,Bath County,89.72129262578898
48197,TX,Hardeman County,89.71305770220489
31141,NE,Platte County,89.71110036978288
18031,IN,Decatur County,89.7107300433246
19001,IA,Adair County,89.70589385874723
5073,AR,Lafayette County,89.70176084390965
46043,SD,Douglas County,89.69437758873603
1049,AL,DeKalb County,89.68299713304147
29075,MO,Gentry County,89.67910746502669
48057,TX,Calhoun County,89.67023455263906
40045,OK,Ellis County,89.66673754440211
20203,KS,Wichita County,89.66666517525628
54087,WV,Roane County,89.65989236108341
31151,NE,Saline County,89.65152012258673
29131,MO,Miller County,89.64795966937348
17135,IL,Montgomery County,89.64019770607915
37003,NC,Alexander County,89.6398591189194
29163,MO,Pike County,89.63926764613448
29125,MO,Maries County,89.62097573923221
55121,WI,Trempealeau County,89.61973275221783
20057,KS,Ford County,89.6196403746916
26157,MI,Tuscola County,89.61639999250629
48495,TX,Winkler County,89.60221848232264
47135,TN,Perry County,89.59709538913678
51163,VA,Rockbridge County,89.58605896653776
28115,MS,Pontotoc County,89.56716817915064
19181,IA,Warren County,89.56541001982481
19055,IA,Delaware County,89.55729472196982
20191,KS,Sumner County,89.55493499602358
20005,KS,Atchison County,89.53543528135145
46045,SD,Edmunds County,89.51433312600236
13207,GA,Monroe County,89.51138683383546
19087,IA,Henry County,89.50509051871774
29115,MO,Linn County,89.50250385058851
51077,VA,Grayson County,89.49275793145313
1111,AL,Randolph County,89.48108918671802
56003,WY,Big Horn County,89.47393059100648
48279,TX,Lamb County,89.4687597425596
35028,NM,Los Alamos County,89.46742332845632
42113,PA,Sullivan County,89.46479297433123
19003,IA,Adams County,89.46036246946746
54083,WV,Randolph County,89.45985720553395
42109,PA,Snyder County,89.45773008855325
18149,IN,Starke County,89.45687335438335
51191,VA,Washington County,89.45234269740034
17005,IL,Bond County,89.45197026167989
22113,LA,Vermilion Parish,89.44883447866405
21135,KY,Lewis County,89.44251666241539
29059,MO,Dallas County,89.41766054951195
18103,IN,Miami County,89.41613774418325
46127,SD,Union County,89.41003243875144
17087,IL,Johnson County,89.40269068373645
31067,NE,Gage County,89.38972909216425
17127,IL,Massac County,89.38938345351285
54067,WV,Nicholas County,89.38744946567437
17107,IL,Logan County,89.36915847871887
55015,WI,Calumet County,89.36878102296768
49045,UT,Tooele County,89.36300499059301
48035,TX,Bosque County,89.33645609560159
29225,MO,Webster County,89.33425762900275
31095,NE,Jefferson County,89.33333738269438
20207,KS,Woodson County,89.3303086170021
16071,ID,Oneida County,89.32845761060206
40129,OK,Roger Mills County,89.32063360312578
48095,TX,Concho County,89.31184892631923
17123,IL,Marshall County,89.30869077400595
39033,OH,Crawford County,89.29207252427223
31085,NE,Hayes County,89.27560655902737
20099,KS,Labette County,89.2718836857847
27117,MN,Pipestone County,89.27178435449139
26153,MI,Schoolcraft County,89.27053409753948
47005,TN,Benton County,89.26649866617771
54001,WV,Barbour County,89.2625144553048
5021,AR,Clay County,89.24221698102977
17131,IL,Mercer County,89.24047753039112
26141,MI,Presque Isle County,89.23997674110882
47103,TN,Lincoln County,89.23742109709906
48207,TX,Haskell County,89.23531239433697
20139,KS,Osage County,89.22741446954439
18123,IN,Perry County,89.21763891105208
5023,AR,Cleburne County,89.2164452981661
28101,MS,Newton County,89.21010338638695
1057,AL,Fayette County,89.20358088118539
5149,AR,Yell County,89.20129651097467
42059,PA,Greene County,89.17031287977191
27073,MN,Lac qui Parle County,89.16282625015066
21139,KY,Livingston County,89.1618909026795
55117,WI,Sheboygan County,89.14049165498598
51005,VA,Alleghany County,89.13992605960777
29027,MO,Callaway County,89.13429058554709
49033,UT,Rich County,89.12869509226891
40081,OK,Lincoln County,89.12611033595324
55129,WI,Washburn County,89.12483805398841
27093,MN,Meeker County,89.12170006286941
13209,GA,Montgomery County,89.11398346276532
21183,KY,Ohio County,89.11331335002018
31101,NE,Keith County,89.11154088974426
30025,MT,Fallon County,89.11035791795378
26029,MI,Charlevoix County,89.1034772589813
16033,ID,Clark County,89.10208832258763
26109,MI,Menominee County,89.10155989622353
48205,TX,Hartley County,89.09707965963726
29035,MO,Carter County,89.06641671295502
31063,NE,Frontier County,89.03414421614882
17147,IL,Piatt County,89.01596696792402
40149,OK,Washita County,89.00692198800476
31163,NE,Sherman County,89.00484858524834
54107,WV,Wood County,89.00201359380624
29139,MO,Montgomery County,88.9960932330571
20007,KS,Barber County,88.98210392721818
19137,IA,Montgomery County,88.97603954314577
40015,OK,Caddo County,88.97589241852799
37033,NC,Caswell County,88.9705300099394
21165,KY,Menifee County,88.96606158561988
13315,GA,Wilcox County,88.93431044878626
5039,AR,Dallas County,88.93313630693004
46101,SD,Moody County,88.93210711451779
18075,IN,Jay County,88.92738682422305
18119,IN,Owen County,88.92426967187225
20109,KS,Logan County,88.91994114492768
21157,KY,Marshall County,88.91393573865771
38003,ND,Barnes County,88.90507949719417
21215,KY,Spencer County,88.90230281025424
51023,VA,Botetourt County,88.89658317398799
35021,NM,Harding County,88.88836824818951
40033,OK,Cotton County,88.88794713377405
48011,TX,Armstrong County,88.88345541645927
13251,GA,Screven County,88.88058124920082
1091,AL,Marengo County,88.87868725420603
18061,IN,Harrison County,88.87728453864689
38047,ND,Logan County,88.86629036955178
42121,PA,Venango County,88.85789436969226
21187,KY,Owen County,88.85505095075747
39065,OH,Hardin County,88.85219175000378
35003,NM,Catron County,88.84769478644975
39091,OH,Logan County,88.84762509542294
31087,NE,Hitchcock County,88.84089282471227
26007,MI,Alpena County,88.8346800591441
18165,IN,Vermillion County,88.82822128393418
51111,VA,Lunenburg County,88.82469523452174
18017,IN,Cass County,88.81328019525026
27161,MN,Waseca County,88.8087342363584
27085,MN,McLeod County,88.80058392258557
21177,KY,Muhlenberg County,88.79813163850099
39167,OH,Washington County,88.79473928606568
55039,WI,Fond du Lac County,88.78123647269793
29083,MO,Henry County,88.77944110087016
48365,TX,Panola County,88.7782793578893
55141,WI,Wood County,88.77671487068868
18107,IN,Montgomery County,88.76940531123944
27127,MN,Redwood County,88.76524921070843
31185,NE,York County,88.76230334086128
18099,IN,Marshall County,88.75565019560445
39071,OH,Highland County,88.75430717827895
21149,KY,McLean County,88.7460929615072
1129,AL,Washington County,88.74207894246346
13133,GA,Greene County,88.73527194609792
18151,IN,Steuben County,88.72764634729295
21229,KY,Washington County,88.71557485349692
38065,ND,Oliver County,88.70266867523003
46035,SD,Davison County,88.69571183112014
29183,MO,St. Charles County,88.69052570546894
51141,VA,Patrick County,88.66501758784975
21061,KY,Edmonson County,88.65918133131082
19125,IA,Marion County,88.64470685028085
5033,AR,Crawford County,88.63106268510357
21179,KY,Nelson County,88.62949939101865
26011,MI,Arenac County,88.62874969349366
